fishery,management_area,target,opening_year,sex,size,molting,soft,new_pliable,new,old,very_old,unknown,total
TR00,bristol_bay,red_king_crab,2000,male,62,0,0,0,2,0,0,0,2
TR00,bristol_bay,red_king_crab,2000,male,66,0,0,0,1,1,0,0,2
TR00,bristol_bay,red_king_crab,2000,male,67,0,0,0,1,0,0,0,1
TR00,bristol_bay,red_king_crab,2000,male,69,0,0,0,3,0,0,0,3
TR00,bristol_bay,red_king_crab,2000,male,70,0,0,0,3,0,0,0,3
TR00,bristol_bay,red_king_crab,2000,male,71,0,0,0,8,0,0,0,8
TR00,bristol_bay,red_king_crab,2000,male,72,0,0,0,14,0,0,0,14
TR00,bristol_bay,red_king_crab,2000,male,73,0,0,0,17,0,0,0,17
TR00,bristol_bay,red_king_crab,2000,male,74,0,0,0,24,0,0,0,24
TR00,bristol_bay,red_king_crab,2000,male,75,0,0,0,33,0,0,0,33
TR00,bristol_bay,red_king_crab,2000,male,76,0,0,0,24,0,0,0,24
TR00,bristol_bay,red_king_crab,2000,male,77,0,0,0,48,0,0,0,48
TR00,bristol_bay,red_king_crab,2000,male,78,0,0,0,60,0,0,0,60
TR00,bristol_bay,red_king_crab,2000,male,79,0,0,0,68,0,0,0,68
TR00,bristol_bay,red_king_crab,2000,male,80,0,0,0,87,0,0,0,87
TR00,bristol_bay,red_king_crab,2000,male,81,0,0,0,86,0,0,0,86
TR00,bristol_bay,red_king_crab,2000,male,82,0,0,0,172,0,0,0,172
TR00,bristol_bay,red_king_crab,2000,male,83,0,0,0,123,0,0,0,123
TR00,bristol_bay,red_king_crab,2000,male,84,0,0,0,137,0,0,0,137
TR00,bristol_bay,red_king_crab,2000,male,85,0,0,0,152,0,0,0,152
TR00,bristol_bay,red_king_crab,2000,male,86,0,0,0,126,0,0,0,126
TR00,bristol_bay,red_king_crab,2000,male,87,0,0,0,172,0,0,0,172
TR00,bristol_bay,red_king_crab,2000,male,88,0,0,0,152,0,0,0,152
TR00,bristol_bay,red_king_crab,2000,male,89,0,0,0,163,0,0,0,163
TR00,bristol_bay,red_king_crab,2000,male,90,0,0,0,190,1,0,0,191
TR00,bristol_bay,red_king_crab,2000,male,91,0,0,0,129,0,0,0,129
TR00,bristol_bay,red_king_crab,2000,male,92,0,0,0,206,0,0,0,206
TR00,bristol_bay,red_king_crab,2000,male,93,0,0,0,147,0,0,0,147
TR00,bristol_bay,red_king_crab,2000,male,94,0,0,0,117,1,0,0,118
TR00,bristol_bay,red_king_crab,2000,male,95,0,0,0,186,0,0,0,186
TR00,bristol_bay,red_king_crab,2000,male,96,0,0,0,134,3,0,0,137
TR00,bristol_bay,red_king_crab,2000,male,97,0,0,0,171,0,0,0,171
TR00,bristol_bay,red_king_crab,2000,male,98,0,0,0,190,0,0,0,190
TR00,bristol_bay,red_king_crab,2000,male,99,0,0,0,152,1,0,0,153
TR00,bristol_bay,red_king_crab,2000,male,100,0,0,0,164,2,0,0,166
TR00,bristol_bay,red_king_crab,2000,male,101,0,0,0,139,2,0,0,141
TR00,bristol_bay,red_king_crab,2000,male,102,0,0,0,205,3,0,0,208
TR00,bristol_bay,red_king_crab,2000,male,103,0,0,0,188,1,0,0,189
TR00,bristol_bay,red_king_crab,2000,male,104,0,0,0,151,1,0,0,152
TR00,bristol_bay,red_king_crab,2000,male,105,0,0,0,170,2,1,0,173
TR00,bristol_bay,red_king_crab,2000,male,106,0,0,0,152,0,0,0,152
TR00,bristol_bay,red_king_crab,2000,male,107,0,0,0,170,1,0,0,171
TR00,bristol_bay,red_king_crab,2000,male,108,0,0,0,169,2,0,0,171
TR00,bristol_bay,red_king_crab,2000,male,109,0,0,0,160,3,0,0,163
TR00,bristol_bay,red_king_crab,2000,male,110,0,0,0,192,3,0,0,195
TR00,bristol_bay,red_king_crab,2000,male,111,0,0,0,167,2,0,0,169
TR00,bristol_bay,red_king_crab,2000,male,112,0,0,0,222,4,0,0,226
TR00,bristol_bay,red_king_crab,2000,male,113,0,0,0,185,3,0,0,188
TR00,bristol_bay,red_king_crab,2000,male,114,0,0,0,164,9,0,0,173
TR00,bristol_bay,red_king_crab,2000,male,115,0,0,0,219,15,0,0,234
TR00,bristol_bay,red_king_crab,2000,male,116,0,0,1,190,8,0,0,199
TR00,bristol_bay,red_king_crab,2000,male,117,0,0,0,210,12,1,0,223
TR00,bristol_bay,red_king_crab,2000,male,118,0,0,0,227,25,0,0,252
TR00,bristol_bay,red_king_crab,2000,male,119,0,0,0,222,12,0,0,234
TR00,bristol_bay,red_king_crab,2000,male,120,0,0,0,306,19,0,0,325
TR00,bristol_bay,red_king_crab,2000,male,121,0,0,0,271,20,0,0,291
TR00,bristol_bay,red_king_crab,2000,male,122,0,0,0,348,37,0,0,385
TR00,bristol_bay,red_king_crab,2000,male,123,0,0,1,320,38,0,0,359
TR00,bristol_bay,red_king_crab,2000,male,124,0,0,0,252,43,1,0,296
TR00,bristol_bay,red_king_crab,2000,male,125,0,0,0,419,63,2,0,484
TR00,bristol_bay,red_king_crab,2000,male,126,0,0,0,330,65,1,0,396
TR00,bristol_bay,red_king_crab,2000,male,127,0,0,0,438,82,0,0,520
TR00,bristol_bay,red_king_crab,2000,male,128,0,0,0,380,103,1,0,484
TR00,bristol_bay,red_king_crab,2000,male,129,0,0,1,372,85,1,0,459
TR00,bristol_bay,red_king_crab,2000,male,130,0,0,0,428,116,3,0,547
TR00,bristol_bay,red_king_crab,2000,male,131,0,0,0,372,97,0,0,469
TR00,bristol_bay,red_king_crab,2000,male,132,0,0,0,433,144,1,0,578
TR00,bristol_bay,red_king_crab,2000,male,133,0,0,0,359,138,3,0,500
TR00,bristol_bay,red_king_crab,2000,male,134,0,0,1,354,145,2,0,502
TR00,bristol_bay,red_king_crab,2000,male,135,0,0,0,362,136,0,0,498
TR00,bristol_bay,red_king_crab,2000,male,136,0,0,0,295,97,2,0,394
TR00,bristol_bay,red_king_crab,2000,male,137,0,0,0,257,89,2,0,348
TR00,bristol_bay,red_king_crab,2000,male,138,0,0,0,155,48,0,0,203
TR00,bristol_bay,red_king_crab,2000,male,139,0,0,0,119,42,1,0,162
TR00,bristol_bay,red_king_crab,2000,male,140,0,0,0,72,24,0,0,96
TR00,bristol_bay,red_king_crab,2000,male,141,0,0,0,26,15,0,0,41
TR00,bristol_bay,red_king_crab,2000,male,142,0,0,0,23,5,0,0,28
TR00,bristol_bay,red_king_crab,2000,male,143,0,0,0,1,1,0,0,2
TR00,bristol_bay,red_king_crab,2000,male,144,0,0,0,3,0,0,0,3
TR00,bristol_bay,red_king_crab,2000,male,145,0,0,0,0,2,0,0,2
TR00,bristol_bay,red_king_crab,2000,male,149,0,0,0,1,0,0,0,1
TR01,bristol_bay,red_king_crab,2001,male,57,0,0,0,1,0,0,0,1
TR01,bristol_bay,red_king_crab,2001,male,61,0,0,0,3,0,0,0,3
TR01,bristol_bay,red_king_crab,2001,male,63,0,0,0,1,0,0,0,1
TR01,bristol_bay,red_king_crab,2001,male,64,0,0,0,1,0,0,0,1
TR01,bristol_bay,red_king_crab,2001,male,65,0,0,0,2,0,0,0,2
TR01,bristol_bay,red_king_crab,2001,male,67,0,0,0,1,0,0,0,1
TR01,bristol_bay,red_king_crab,2001,male,68,0,0,0,3,0,0,0,3
TR01,bristol_bay,red_king_crab,2001,male,69,0,0,0,4,0,0,0,4
TR01,bristol_bay,red_king_crab,2001,male,70,0,0,0,9,0,0,0,9
TR01,bristol_bay,red_king_crab,2001,male,71,0,0,0,10,0,0,0,10
TR01,bristol_bay,red_king_crab,2001,male,72,0,0,0,9,0,0,0,9
TR01,bristol_bay,red_king_crab,2001,male,73,0,0,0,15,0,0,0,15
