fishery,management_area,target,opening_year,sex,size,molting,soft,new_pliable,new,old,very_old,very_very_old,unknown,total
TR00,bristol_bay,red_king_crab,2000,female,70,0,0,0,4,0,0,0,0,4
TR00,bristol_bay,red_king_crab,2000,female,71,0,0,0,4,0,0,0,0,4
TR00,bristol_bay,red_king_crab,2000,female,72,0,0,0,7,0,0,0,0,7
TR00,bristol_bay,red_king_crab,2000,female,73,0,0,0,9,0,0,0,0,9
TR00,bristol_bay,red_king_crab,2000,female,74,0,0,0,13,0,0,0,0,13
TR00,bristol_bay,red_king_crab,2000,female,75,0,0,0,27,0,0,0,0,27
TR00,bristol_bay,red_king_crab,2000,female,76,0,0,0,23,0,0,0,0,23
TR00,bristol_bay,red_king_crab,2000,female,77,0,0,0,41,0,0,0,0,41
TR00,bristol_bay,red_king_crab,2000,female,78,0,0,0,57,0,0,0,0,57
TR00,bristol_bay,red_king_crab,2000,female,79,0,0,0,69,0,0,0,0,69
TR00,bristol_bay,red_king_crab,2000,female,80,0,0,0,88,0,0,0,0,88
TR00,bristol_bay,red_king_crab,2000,female,81,0,0,0,81,1,1,0,0,83
TR00,bristol_bay,red_king_crab,2000,female,82,0,0,0,120,0,0,0,0,120
TR00,bristol_bay,red_king_crab,2000,female,83,0,0,0,109,0,0,0,0,109
TR00,bristol_bay,red_king_crab,2000,female,84,0,0,0,113,1,0,0,0,114
TR00,bristol_bay,red_king_crab,2000,female,85,0,0,0,139,0,0,0,0,139
TR00,bristol_bay,red_king_crab,2000,female,86,0,0,0,113,0,0,0,0,113
TR00,bristol_bay,red_king_crab,2000,female,87,0,0,0,140,1,0,0,0,141
TR00,bristol_bay,red_king_crab,2000,female,88,0,0,0,120,0,0,0,0,120
TR00,bristol_bay,red_king_crab,2000,female,89,0,0,0,115,2,0,0,0,117
TR00,bristol_bay,red_king_crab,2000,female,90,0,0,0,150,0,0,0,0,150
TR00,bristol_bay,red_king_crab,2000,female,91,0,0,0,125,0,0,0,0,125
TR00,bristol_bay,red_king_crab,2000,female,92,0,0,0,153,0,0,0,0,153
TR00,bristol_bay,red_king_crab,2000,female,93,0,0,0,140,0,0,0,0,140
TR00,bristol_bay,red_king_crab,2000,female,94,0,0,0,122,1,0,0,0,123
TR00,bristol_bay,red_king_crab,2000,female,95,0,0,0,134,0,0,0,0,134
TR00,bristol_bay,red_king_crab,2000,female,96,0,0,0,114,0,0,0,0,114
TR00,bristol_bay,red_king_crab,2000,female,97,0,0,0,137,0,0,0,0,137
TR00,bristol_bay,red_king_crab,2000,female,98,0,0,0,116,0,0,0,0,116
TR00,bristol_bay,red_king_crab,2000,female,99,0,0,0,93,0,0,0,0,93
TR00,bristol_bay,red_king_crab,2000,female,100,0,0,0,111,1,0,0,0,112
TR00,bristol_bay,red_king_crab,2000,female,101,0,0,0,75,0,0,0,0,75
TR00,bristol_bay,red_king_crab,2000,female,102,0,0,0,105,0,0,0,0,105
TR00,bristol_bay,red_king_crab,2000,female,103,0,0,0,95,0,0,0,0,95
TR00,bristol_bay,red_king_crab,2000,female,104,0,0,0,73,0,0,0,0,73
TR00,bristol_bay,red_king_crab,2000,female,105,0,0,1,95,0,0,0,0,96
TR00,bristol_bay,red_king_crab,2000,female,106,0,0,0,80,0,0,0,0,80
TR00,bristol_bay,red_king_crab,2000,female,107,0,0,0,83,0,0,0,0,83
TR00,bristol_bay,red_king_crab,2000,female,108,0,0,0,115,0,0,0,0,115
TR00,bristol_bay,red_king_crab,2000,female,109,0,0,0,92,0,0,0,0,92
TR00,bristol_bay,red_king_crab,2000,female,110,0,0,0,166,0,0,0,0,166
TR00,bristol_bay,red_king_crab,2000,female,111,0,0,0,95,0,0,0,0,95
TR00,bristol_bay,red_king_crab,2000,female,112,0,0,0,222,0,0,0,0,222
TR00,bristol_bay,red_king_crab,2000,female,113,0,0,0,161,0,0,0,0,161
TR00,bristol_bay,red_king_crab,2000,female,114,0,0,0,201,0,0,0,0,201
TR00,bristol_bay,red_king_crab,2000,female,115,0,0,0,266,0,0,0,0,266
TR00,bristol_bay,red_king_crab,2000,female,116,0,0,0,255,0,0,0,0,255
TR00,bristol_bay,red_king_crab,2000,female,117,0,0,0,240,0,0,0,0,240
TR00,bristol_bay,red_king_crab,2000,female,118,0,0,0,316,0,0,0,0,316
TR00,bristol_bay,red_king_crab,2000,female,119,0,0,0,228,0,0,0,0,228
TR00,bristol_bay,red_king_crab,2000,female,120,0,0,0,326,0,0,0,0,326
TR00,bristol_bay,red_king_crab,2000,female,121,0,0,0,214,0,0,0,0,214
TR00,bristol_bay,red_king_crab,2000,female,122,0,0,0,265,1,0,0,0,266
TR00,bristol_bay,red_king_crab,2000,female,123,0,0,0,224,0,0,0,0,224
TR00,bristol_bay,red_king_crab,2000,female,124,0,0,0,207,0,0,0,0,207
TR00,bristol_bay,red_king_crab,2000,female,125,0,0,0,239,0,0,0,0,239
TR00,bristol_bay,red_king_crab,2000,female,126,0,0,0,116,0,0,0,0,116
TR00,bristol_bay,red_king_crab,2000,female,127,0,0,0,145,0,0,0,0,145
TR00,bristol_bay,red_king_crab,2000,female,128,0,0,0,109,0,0,0,0,109
TR00,bristol_bay,red_king_crab,2000,female,129,0,0,0,68,0,0,0,0,68
TR00,bristol_bay,red_king_crab,2000,female,130,0,0,0,113,0,0,0,0,113
TR00,bristol_bay,red_king_crab,2000,female,131,0,0,0,50,0,0,0,0,50
TR00,bristol_bay,red_king_crab,2000,female,132,0,0,0,99,0,0,0,0,99
TR00,bristol_bay,red_king_crab,2000,female,133,0,0,0,34,0,0,0,0,34
TR00,bristol_bay,red_king_crab,2000,female,134,0,0,0,60,0,0,0,0,60
TR00,bristol_bay,red_king_crab,2000,female,135,0,0,0,44,0,0,0,0,44
TR00,bristol_bay,red_king_crab,2000,female,136,0,0,0,33,0,0,0,0,33
TR00,bristol_bay,red_king_crab,2000,female,137,0,0,0,48,0,0,0,0,48
TR00,bristol_bay,red_king_crab,2000,female,138,0,0,0,41,0,0,0,0,41
TR00,bristol_bay,red_king_crab,2000,female,139,0,0,0,24,0,0,0,0,24
TR00,bristol_bay,red_king_crab,2000,female,140,0,0,0,30,0,0,0,0,30
TR00,bristol_bay,red_king_crab,2000,female,141,0,0,0,19,0,0,0,0,19
TR00,bristol_bay,red_king_crab,2000,female,142,0,0,0,40,0,0,0,0,40
TR00,bristol_bay,red_king_crab,2000,female,143,0,0,0,11,0,0,0,0,11
TR00,bristol_bay,red_king_crab,2000,female,144,0,0,0,14,0,0,0,0,14
TR00,bristol_bay,red_king_crab,2000,female,145,0,0,0,27,0,0,0,0,27
TR00,bristol_bay,red_king_crab,2000,female,146,0,0,0,10,0,0,0,0,10
TR00,bristol_bay,red_king_crab,2000,female,147,0,0,0,23,0,0,0,0,23
TR00,bristol_bay,red_king_crab,2000,female,148,0,0,0,13,0,0,0,0,13
TR00,bristol_bay,red_king_crab,2000,female,149,0,0,0,8,0,0,0,0,8
TR00,bristol_bay,red_king_crab,2000,female,150,0,0,0,9,0,0,0,0,9
TR00,bristol_bay,red_king_crab,2000,female,151,0,0,0,7,0,0,0,0,7
TR00,bristol_bay,red_king_crab,2000,female,152,0,0,0,9,0,0,0,0,9
TR00,bristol_bay,red_king_crab,2000,female,153,0,0,0,3,0,0,0,0,3
TR00,bristol_bay,red_king_crab,2000,female,154,0,0,0,3,0,0,0,0,3
TR00,bristol_bay,red_king_crab,2000,female,155,0,0,0,1,0,0,0,0,1
TR00,bristol_bay,red_king_crab,2000,female,156,0,0,0,6,0,0,0,0,6
TR00,bristol_bay,red_king_crab,2000,female,157,0,0,0,4,0,0,0,0,4
TR00,bristol_bay,red_king_crab,2000,female,158,0,0,0,2,0,0,0,0,2
TR00,bristol_bay,red_king_crab,2000,female,159,0,0,0,3,0,0,0,0,3
TR00,bristol_bay,red_king_crab,2000,female,160,0,0,0,3,0,0,0,0,3
TR00,bristol_bay,red_king_crab,2000,female,161,0,0,0,2,0,0,0,0,2
TR00,bristol_bay,red_king_crab,2000,female,163,0,0,0,1,0,0,0,0,1
TR00,bristol_bay,red_king_crab,2000,female,165,0,0,0,2,0,0,0,0,2
TR00,bristol_bay,red_king_crab,2000,female,168,0,0,0,1,0,0,0,0,1
TR01,bristol_bay,red_king_crab,2001,female,56,0,0,0,2,0,0,0,0,2
TR01,bristol_bay,red_king_crab,2001,female,58,0,0,0,1,0,0,0,0,1
TR01,bristol_bay,red_king_crab,2001,female,60,0,0,0,3,0,0,0,0,3
TR01,bristol_bay,red_king_crab,2001,female,61,0,0,0,1,0,0,0,0,1
TR01,bristol_bay,red_king_crab,2001,female,64,0,0,0,1,0,0,0,0,1
TR01,bristol_bay,red_king_crab,2001,female,65,0,0,0,1,0,0,0,0,1
TR01,bristol_bay,red_king_crab,2001,female,68,0,0,0,1,0,0,0,0,1
TR01,bristol_bay,red_king_crab,2001,female,69,0,0,0,2,0,0,0,0,2
TR01,bristol_bay,red_king_crab,2001,female,70,0,0,0,2,0,0,0,0,2
TR01,bristol_bay,red_king_crab,2001,female,71,0,0,0,4,0,0,0,0,4
TR01,bristol_bay,red_king_crab,2001,female,72,0,0,0,4,0,0,0,0,4
TR01,bristol_bay,red_king_crab,2001,female,73,0,0,0,10,0,0,0,0,10
TR01,bristol_bay,red_king_crab,2001,female,74,0,0,0,3,0,0,0,0,3
TR01,bristol_bay,red_king_crab,2001,female,75,0,0,0,7,0,0,0,0,7
TR01,bristol_bay,red_king_crab,2001,female,76,0,0,0,10,0,0,0,0,10
TR01,bristol_bay,red_king_crab,2001,female,77,0,0,0,18,0,0,0,0,18
TR01,bristol_bay,red_king_crab,2001,female,78,0,0,0,16,0,0,0,0,16
