year	season	fleet	sex	obs	cv	type	units	mult	potlifts	discard_mortality
1990	5	3	1	0.000	0.07	2	1	1	493.82	0.25
1991	5	3	1	1890.540	0.07	2	1	1	360.864	0.25
1992	5	3	1	263.854	0.07	2	1	1	508.922	0.25
1993	5	3	1	118.614	0.07	2	1	1	286.62	0.25
1994	5	3	1	38.907	0.07	2	1	1	228.254	0.25
1995	5	3	1	0.000	0.07	2	1	1	201.988	0.25
1996	5	3	1	0.000	0.07	2	1	1	64.989	0.25
#1997	5	3	1	0.000	0.07	2	1	1	1e-4	0.25
#1998	5	3	1	0.000	0.07	2	1	1	1e-4	0.25
#1999	5	3	1	0.000	0.07	2	1	1	1e-4	0.25
#2000	5	3	1	0.000	0.07	2	1	1	1e-4	0.25
#2001	5	3	1	0.000	0.07	2	1	1	1e-4	0.25
#2002	5	3	1	0.000	0.07	2	1	1	1e-4	0.25
#2003	5	3	1	0.000	0.07	2	1	1	1e-4	0.25
#2004	5	3	1	0.000	0.07	2	1	1	1e-4	0.25
#2005	5	3	1	0.000	0.07	2	1	1	1e-4	0.25
2006	5	3	1	14.334	0.07	2	1	1	15.273	0.25
2007	5	3	1	5.536	0.07	2	1	1	26.441	0.25
2008	5	3	1	9.245	0.07	2	1	1	19.401	0.25
2009	5	3	1	3.089	0.07	2	1	1	6.635	0.25
#2010	5	3	1	0.000	0.07	2	1	1	1e-4	0.25
#2011	5	3	1	0.000	0.07	2	1	1	1e-4	0.25
#2012	5	3	1	0.000	0.07	2	1	1	1e-4	0.25
2013	5	3	1	37.426	0.07	2	1	1	16.633	0.25
2014	5	3	1	68.588	0.07	2	1	1	72.768	0.25
2015	5	3	1	189.229	0.07	2	1	1	130.302	0.25
#2016	5	3	1	0.000	0.07	2	1	1	1e-4	0.25
#2017	5	3	1	0.000	0.07	2	1	1	1e-4	0.25
#2018	5	3	1	0.000	0.07	2	1	1	1e-4	0.25
#2019	5	3	1	0.000	0.07	2	1	1	1e-4	0.25
#2020	5	3	1	0.000	0.07	2	1	1	1e-4	0.25
#2021	5	3	1	0.000	0.07	2	1	1	1e-4	0.25
