year,d1m,d1l,d3m,d3b,d1f,d2r,d2m,d2b
,males,males,,MMB,Female,Recruits,Est-Survey,Area-swept
1975,55.54,28.23,83.21,8.27,54.79,,235.86,199.64
1976,65.22,35.52,99.07,7.98,83.13,63.88,275.71,327.61
1977,72.44,41.30,113.03,6.92,110.37,41.20,297.01,371.22
1978,77.71,46.49,119.80,5.50,114.47,64.35,300.17,343.19
1979,68.28,47.42,99.94,3.87,109.51,115.47,288.72,165.45
1980,50.10,37.75,30.33,1.60,111.47,150.26,273.37,247.23
1981,14.47,8.03,6.55,1.05,48.86,67.94,109.14,131.14
1982,6.78,2.16,6.56,0.93,21.39,241.56,65.17,141.90
1983,6.18,2.17,7.41,0.68,14.20,93.07,57.65,48.48
1984,6.15,2.29,5.23,0.43,13.98,64.27,50.62,152.61
1985,7.56,1.88,9.68,0.65,9.73,10.20,34.84,34.14
1986,12.17,4.65,15.06,0.99,13.64,30.36,45.54,47.43
1987,14.36,6.69,20.40,1.19,17.03,9.47,51.33,69.24
1988,14.45,8.46,25.12,1.25,21.45,6.18,54.70,54.60
1989,15.55,9.75,27.98,1.19,20.23,8.03,57.35,55.14
1990,15.01,10.44,24.14,1.12,18.06,20.85,57.42,59.45
1991,11.55,8.65,18.45,1.06,17.43,13.11,52.33,83.89
1992,9.28,6.46,17.24,1.03,18.58,3.02,47.66,37.33
1993,10.50,6.16,15.85,1.11,17.27,9.07,47.20,52.91
1994,10.35,6.02,21.70,1.22,14.68,2.91,42.63,32.10
1995,10.86,7.89,24.84,1.22,13.57,59.44,48.70,38.07
1996,11.15,8.55,23.32,1.16,19.69,8.63,58.05,43.96
1997,10.59,7.79,22.06,1.14,28.74,4.45,64.18,84.03
1998,15.90,7.75,24.94,1.35,25.23,12.41,68.06,84.10
1999,16.97,9.73,28.68,1.49,21.32,33.58,66.66,64.75
2000,14.65,10.65,28.90,1.49,22.73,12.47,68.28,67.38
2001,14.47,10.22,29.28,1.45,25.76,12.89,71.90,52.46
2002,17.32,10.41,33.34,1.46,25.01,51.48,76.96,69.09
2003,18.14,12.05,32.90,1.43,30.66,11.76,83.11,115.76
2004,16.36,11.63,30.41,1.35,37.82,10.95,84.59,130.56
2005,18.23,10.84,30.94,1.31,35.03,39.54,85.55,105.73
2006,17.34,11.42,31.32,1.27,35.33,18.93,85.40,94.48
2007,15.64,11.18,26.31,1.20,39.20,12.79,86.95,103.33
2008,16.02,9.51,24.99,1.22,36.75,7.15,83.34,113.08
2009,15.87,9.46,25.86,1.26,32.18,8.16,77.33,90.55
2010,14.75,9.69,25.14,1.22,28.17,21.79,72.26,80.50
2011,12.49,9.15,24.85,1.14,27.73,12.61,67.80,66.41
2012,11.13,8.61,23.28,1.06,29.49,7.30,66.17,60.70
2013,11.04,7.87,22.21,0.99,27.88,5.32,63.45,62.22
2014,10.76,7.57,20.21,0.93,24.65,3.32,58.71,113.14
2015,9.24,6.89,17.22,0.89,21.09,5.28,51.91,64.17
2016,7.48,5.80,14.19,0.87,17.96,10.33,45.24,60.96
2017,5.94,4.70,11.59,0.85,16.33,4.36,40.30,52.93
2018,5.17,3.80,10.34,0.86,14.91,9.73,37.30,28.80
2019,5.92,3.52,11.24,0.98,13.12,5.29,36.02,28.54
2020,6.49,4.03,12.86,1.14,12.07,5.79,,
2021,7.67,4.65,16.64,1.36,10.98,6.61,36.14,28.48
2022,8.66,5.96,16.76,1.16,10.20,9.01,38.02,36.20
