survey_year,group,abundance,cv_abund,biomass,cv_biomass
2008,female,457173.9891853195,0.36095986994478924,236286.65571882587,0.34072129233857645
2008,male_immature,460203.543714872,0.4194431539681519,194449.91382836355,0.468255777439013
2008,male_legal,198898.5227312561,0.27288314589550394,356803.50557691656,0.2681335279498352
2008,male_mature,442996.9289145147,0.3806889952742745,562987.8070855789,0.3160403357149211
2010,female,1296508.0054107402,0.326106990285079,878742.0721612937,0.4059030464791073
2010,male_immature,530523.1380610209,0.3349451532159742,152764.5406769203,0.3275802959138099
2010,male_legal,294506.1817943288,0.269257169086514,538660.7110101131,0.26042973700103655
2010,male_mature,438137.9955411139,0.2737370959500414,665140.258441943,0.2599672399727133
2012,female,1585099.243423709,0.5315341213240424,760628.4138176908,0.4692470309115213
2012,male_immature,613219.9662910147,0.6876713053875052,98916.43414114186,0.4338888409861753
2012,male_legal,158140.35853932422,0.3769004005573593,295491.11088989646,0.3758628680464702
2012,male_mature,250352.7478159713,0.3242862702803669,373764.38353004504,0.3430327041211658
2016,female,1154549.2438413163,0.33921604186110876,593732.9923140724,0.3360689473940067
2016,male_immature,633916.1349638168,0.41264220322993284,186196.86387004086,0.40449243918569633
2016,male_legal,308755.6135603231,0.29471657176115457,566743.8593037917,0.31043766964163916
2016,male_mature,529031.7488864199,0.32403824638785356,755594.2026253239,0.3174028986761495
